;size;method;time;memory;error;add;sub;mul
0;1;Binet bez paddingu;2.6345252990722656e-05;0.000652313232421875;0.0;0.0;0.0;1.0
1;1;Strassen bez paddingu;2.3603439331054688e-05;0.0006561279296875;0.0;0.0;0.0;1.0
2;11;Binet bez paddingu;0.01731175184249878;0.019382953643798828;8.881784197001252e-16;1210.0;0.0;1331.0
3;11;Strassen bez paddingu;0.02061009407043457;0.024152278900146484;8.43769498715119e-15;1898.0;612.0;1101.0
4;21;Binet bez paddingu;0.09852468967437744;0.045758724212646484;2.6645352591003757e-15;8820.0;0.0;9261.0
5;21;Strassen bez paddingu;0.10774505138397217;0.07760810852050781;1.865174681370263e-14;13536.0;4884.0;6651.0
6;31;Binet bez paddingu;0.37251126766204834;0.09198856353759766;3.552713678800501e-15;28830.0;0.0;29791.0
7;31;Strassen bez paddingu;0.18458890914916992;0.1691732406616211;2.4868995751603507e-14;33556.0;8112.0;22349.0
8;41;Binet bez paddingu;0.6020819544792175;0.15918540954589844;7.105427357601002e-15;67240.0;0.0;68921.0
9;41;Strassen bez paddingu;0.6941698789596558;0.2974681854248047;8.171241461241152e-14;95852.0;36588.0;42651.0
10;51;Binet bez paddingu;1.295436441898346;0.24356555938720703;8.881784197001252e-15;130050.0;0.0;132651.0
11;51;Strassen bez paddingu;1.0955610871315002;0.4617881774902344;2.184918912462308e-13;160048.0;53310.0;82684.0
12;61;Binet bez paddingu;2.910735309123993;0.347170352935791;1.4210854715202004e-14;223260.0;0.0;226981.0
13;61;Strassen bez paddingu;1.3465750217437744;0.6636834144592285;1.0302869668521453e-13;237442.0;62184.0;147887.0
14;71;Binet bez paddingu;3.9747633934020996;0.4686746597290039;2.1316282072803006e-14;352870.0;0.0;357911.0
15;71;Strassen bez paddingu;4.424660682678223;0.9025812149047852;5.897504706808832e-13;537096.0;229698.0;197590.0
16;81;Binet bez paddingu;4.855134606361389;0.6083097457885742;2.1316282072803006e-14;524880.0;0.0;531441.0
17;81;Strassen bez paddingu;4.955901145935059;1.1780352592468262;6.394884621840902e-13;675564.0;265716.0;283551.0
18;91;Binet bez paddingu;6.856256425380707;0.7673382759094238;2.4868995751603507e-14;745290.0;0.0;753571.0
19;91;Strassen bez paddingu;5.801475286483765;1.4891486167907715;4.689582056016661e-13;852472.0;277968.0;443801.0
20;101;Binet bez paddingu;10.100185632705688;0.943397045135498;3.197442310920451e-14;1020100.0;0.0;1030301.0
21;101;Strassen bez paddingu;8.116858720779419;1.8406982421875;4.760636329592671e-13;1127586.0;388170.0;555532.0
22;111;Binet bez paddingu;15.525247514247894;1.1389884948730469;2.842170943040401e-14;1355310.0;0.0;1367631.0
23;111;Strassen bez paddingu;9.02091908454895;2.223997116088867;7.673861546209082e-13;1392336.0;403038.0;800100.0
24;121;Binet bez paddingu;22.798491179943085;1.3520169258117676;3.552713678800501e-14;1756920.0;0.0;1771561.0
25;121;Strassen bez paddingu;9.820152699947357;2.6458592414855957;6.714628852932947e-13;1672594.0;456888.0;1001903.0
26;131;Binet bez paddingu;29.2904594540596;1.5826478004455566;5.684341886080802e-14;2230930.0;0.0;2248091.0
27;131;Strassen bez paddingu;30.427875459194183;3.1040139198303223;2.7426949600339867e-12;3367478.0;1615092.0;962001.0
28;141;Binet bez paddingu;32.40166664123535;1.8344311714172363;5.684341886080802e-14;2783340.0;0.0;2803221.0
29;141;Strassen bez paddingu;32.5885283946991;3.598252296447754;2.6147972675971687e-12;3774022.0;1637286.0;1337974.0
