,size,method,time,memory,error,add,sub,mul
0,1,Strassen bez paddingu,2.2411346435546875e-05,0;0005950927734375,0;0,0;0,0;0,1;0
1,11,Strassen bez paddingu,0.02439713478088379,0;02538928985595703,3;552713678800501e-15,1898;0,612;0,1101;0
2,21,Strassen bez paddingu,0.12327060699462891,0;0774871826171875,3;2862601528904634e-14,13536;0,4884;0,6651;0
3,31,Strassen bez paddingu,0.18483572006225585,0;16918792724609374,1;9539925233402755e-14,33556;0,8112;0,22349;0
4,41,Strassen bez paddingu,0.6701098918914795,0;2969673156738281,1;7053025658242404e-13,95852;0,36588;0,42651;0
5,51,Strassen bez paddingu,1.03928861618042,0;46213111877441404,1;1368683772161603e-13,160048;0,53310;0,82684;0
6,61,Strassen bez paddingu,1.3629303455352784,0;664425277709961,1;4210854715202004e-13,237442;0,62184;0,147887;0
7,71,Strassen bez paddingu,4.286504697799683,0;9027019500732422,5;115907697472721e-13,537096;0,229698;0,197590;0
8,81,Strassen bez paddingu,5.13409833908081,1;1774715423583983,5;186961971048731e-13,675564;0,265716;0,283551;0
9,91,Strassen bez paddingu,5.885476589202881,1;4912643432617188,5;080380560684716e-13,852472;0,277968;0,443801;0
10,101,Strassen bez paddingu,8.006351041793824,1;8387683868408202,5;648814749292796e-13,1127586;0,388170;0,555532;0
11,111,Strassen bez paddingu,9.211693859100341,2;225063705444336,5;080380560684716e-13,1392336;0,403038;0,800100;0
12,121,Strassen bez paddingu,10.36176905632019,2;6461029052734375,8;206768598029157e-13,1672594;0,456888;0,1001903;0
13,131,Strassen bez paddingu,31.59257788658142,3;1040740966796876,2;3803181647963356e-12,3367478;0,1615092;0,962001;0
14,141,Strassen bez paddingu,33.424978494644165,3;59838752746582,2;2595258997171186e-12,3774022;0,1637286;0,1337974;0
15,151,Strassen bez paddingu,36.121791172027585,4;129452514648437,2;5153212845907547e-12,4241560;0,1692960;0,1724921;0
16,161,Strassen bez paddingu,38.981800174713136,4;697095489501953,2;3661073100811336e-12,4747748;0,1898412;0,1926051;0
17,171,Strassen bez paddingu,41.87002310752869,5;30108413696289,2;5366375666635577e-12,5372666;0,1922304;0,2518451;0
18,181,Strassen bez paddingu,45.63425798416138,5;942193222045899,2;5650592760939617e-12,5991154;0,1994376;0,3032351;0
19,191,Strassen bez paddingu,49.03552141189575,6;619574737548828,2;7924329515371937e-12,6773634;0,2020884;0,3778789;0
